userId,itemId,rank,explanations,explanation_score,explanations_as_list,n_explanations
98.0,253.0,5.0,"{321, 101, 357, 231, 456, 12, 216, 209, 82, 114, 52, 403, 247, 24, 347, 156, 191}","[0.3528, 0.2463, 0.2654, 0.5238, 0.3031, 0.522, 0.3821, 0.3553, 0.2759, 0.3079, 0.4339, 0.3447, 0.3265, 0.3569, 0.24, 0.268, 0.5025]","[321, 101, 357, 231, 456, 12, 216, 209, 82, 114, 52, 403, 247, 24, 347, 156, 191]",17
99.0,78.0,8.0,"{200, 49, 156}","[0.2225, 0.3223, 0.3467]","[200, 49, 156]",3
102.0,496.0,8.0,{101},[0.2617],[101],1
111.0,200.0,9.0,"{256, 136, 12, 403, 22, 26, 156, 29, 31, 161, 34, 166, 423, 49, 307, 52, 182, 311, 56, 57, 191, 66, 82, 86, 217, 474, 347, 221, 101, 357, 103, 361, 622, 367, 113, 114, 118, 247}","[0.3834, 0.5619, 0.56, 0.5216, 0.5142, 0.5342, 0.3843, 0.3947, 0.57, 0.6015, 0.5855, 0.545, 0.3682, 0.5, 0.4027, 0.5538, 0.5659, 0.6, 0.4052, 0.5349, 0.5227, 0.6115, 0.5273, 0.6151, 0.5422, 0.5354, 0.5373, 0.4771, 0.5708, 0.5081, 0.5084, 0.3981, 0.5161, 0.5157, 0.3866, 0.569, 0.5355, 0.5412]","[256, 136, 12, 403, 22, 26, 156, 29, 31, 161, 34, 166, 423, 49, 307, 52, 182, 311, 56, 57, 191, 66, 82, 86, 217, 474, 347, 221, 101, 357, 103, 361, 622, 367, 113, 114, 118, 247]",38
117.0,389.0,10.0,"{12, 140, 403, 24, 408, 29, 31, 161, 166, 49, 179, 52, 182, 189, 320, 201, 77, 209, 216, 217, 347, 95, 356, 357, 103, 231, 239, 112}","[0.3037, 0.3103, 0.4078, 0.3807, 0.2652, 0.307, 0.2722, 0.2263, 0.3356, 0.3933, 0.3043, 0.4018, 0.4423, 0.4217, 0.45, 0.3142, 0.4657, 0.296, 0.3757, 0.4297, 0.438, 0.4375, 0.4626, 0.4074, 0.447, 0.2819, 0.3015, 0.4328]","[12, 140, 403, 24, 408, 29, 31, 161, 166, 49, 179, 52, 182, 189, 320, 201, 77, 209, 216, 217, 347, 95, 356, 357, 103, 231, 239, 112]",28
131.0,623.0,6.0,{191},[0.3191],[191],1
141.0,389.0,9.0,"{357, 49, 209, 403, 189, 157}","[0.2652, 0.2165, 0.3142, 0.296, 0.2819, 0.3015]","[357, 49, 209, 403, 189, 157]",6
149.0,217.0,9.0,"{256, 31, 288, 34, 36, 297, 47, 49, 307, 311, 321, 88, 216, 221, 93, 95, 96, 367, 247, 506}","[0.5, 0.5205, 0.5241, 0.6141, 0.3663, 0.6688, 0.7086, 0.2517, 0.6034, 0.5113, 0.6106, 0.528, 0.6221, 0.6541, 0.5311, 0.5982, 0.6008, 0.5464, 0.5331, 0.6062]","[256, 31, 288, 34, 36, 297, 47, 49, 307, 311, 321, 88, 216, 221, 93, 95, 96, 367, 247, 506]",20
175.0,241.0,5.0,{357},[0.2038],[357],1
182.0,235.0,10.0,{357},[0.1848],[357],1
183.0,244.0,10.0,"{256, 161, 102, 367, 112, 49, 240, 307, 311, 431, 247, 216, 217, 347, 221, 31}","[0.392, 0.2539, 0.4023, 0.4157, 0.3988, 0.3503, 0.4096, 0.4292, 0.4416, 0.4534, 0.3969, 0.4795, 0.4032, 0.4512, 0.439, 0.5]","[256, 161, 102, 367, 112, 49, 240, 307, 311, 431, 247, 216, 217, 347, 221, 31]",16
185.0,693.0,8.0,"{161, 321, 357, 367, 52, 24, 347, 31, 216}","[0.2438, 0.2869, 0.239, 0.2931, 0.2853, 0.3643, 0.3367, 0.2362, 0.3728]","[161, 321, 357, 367, 52, 24, 347, 31, 216]",9
200.0,438.0,2.0,"{52, 357}","[0.2127, 0.2076]","[52, 357]",2
202.0,496.0,7.0,"{357, 101}","[0.2617, 0.1962]","[357, 101]",2
209.0,241.0,3.0,{357},[0.2038],[357],1
209.0,226.0,8.0,"{24, 49, 357}","[0.2562, 0.2382, 0.2362]","[24, 49, 357]",3
212.0,174.0,10.0,{157},[0.21],[157],1
219.0,342.0,5.0,{49},[0.2607],[49],1
229.0,547.0,9.0,"{49, 357}","[0.2157, 0.2057]","[49, 357]",2
242.0,501.0,3.0,{49},[0.2202],[49],1
247.0,427.0,10.0,{49},[0.2247],[49],1
273.0,538.0,2.0,{52},[0.2281],[52],1
273.0,622.0,4.0,{52},[0.2917],[52],1
279.0,432.0,10.0,{52},[0.2303],[52],1
286.0,125.0,8.0,"{161, 357, 52, 101}","[0.2368, 0.3161, 0.3051, 0.2381]","[161, 357, 52, 101]",4
296.0,693.0,5.0,{49},[0.2225],[49],1
308.0,325.0,10.0,"{289, 719}","[0.222, 0.3503]","[289, 719]",2
309.0,241.0,7.0,"{357, 101}","[0.272, 0.2038]","[357, 101]",2
312.0,153.0,9.0,"{357, 136, 10, 12, 403, 52, 95}","[0.3911, 0.2914, 0.2807, 0.2587, 0.3301, 0.2514, 0.299]","[357, 136, 10, 12, 403, 52, 95]",7
323.0,342.0,4.0,"{320, 166, 200, 239, 240, 179, 471, 216, 29, 31}","[0.4549, 0.3864, 0.4731, 0.4659, 0.3759, 0.3418, 0.3945, 0.4545, 0.4626, 0.4263]","[320, 166, 200, 239, 240, 179, 471, 216, 29, 31]",10
325.0,239.0,7.0,"{256, 260, 5, 6, 389, 136, 390, 12, 140, 652, 273, 403, 408, 26, 156, 157, 288, 289, 36, 166, 423, 297, 174, 47, 431, 49, 307, 52, 53, 182, 309, 56, 57, 311, 695, 60, 189, 191, 321, 66, 200, 329, 456, 77, 209, 82, 83, 471, 216, 217, 347, 476, 93, 221, 99, 100, 101, 229, 103, 356, 357, 359, 361, 492, 367, 118, 247, 502, 506, 254}","[0.592, 0.5297, 0.3834, 0.5, 0.5348, 0.5815, 0.3888, 0.3882, 0.6094, 0.525, 0.5055, 0.2645, 0.5233, 0.3811, 0.5291, 0.3934, 0.5771, 0.5498, 0.5911, 0.5026, 0.3993, 0.5522, 0.3758, 0.3913, 0.5017, 0.2814, 0.55, 0.5367, 0.5273, 0.3989, 0.5888, 0.5657, 0.3851, 0.5141, 0.5462, 0.5531, 0.6018, 0.5248, 0.5731, 0.5038, 0.5934, 0.5485, 0.573, 0.2664, 0.6141, 0.5571, 0.5805, 0.4879, 0.4674, 0.5482, 0.4983, 0.5853, 0.3752, 0.5455, 0.4977, 0.5331, 0.5773, 0.6994, 0.3892, 0.5933, 0.5388, 0.58, 0.5672, 0.5857, 0.5758, 0.5412, 0.4302, 0.6125, 0.2481, 0.364]","[256, 260, 5, 6, 389, 136, 390, 12, 140, 652, 273, 403, 408, 26, 156, 157, 288, 289, 36, 166, 423, 297, 174, 47, 431, 49, 307, 52, 53, 182, 309, 56, 57, 311, 695, 60, 189, 191, 321, 66, 200, 329, 456, 77, 209, 82, 83, 471, 216, 217, 347, 476, 93, 221, 99, 100, 101, 229, 103, 356, 357, 359, 361, 492, 367, 118, 247, 502, 506, 254]",70
341.0,145.0,9.0,"{357, 101, 52, 156, 31}","[0.2727, 0.2127, 0.2591, 0.3189, 0.1962]","[357, 101, 52, 156, 31]",5
355.0,278.0,9.0,"{60, 157, 95}","[0.2622, 0.2725, 0.2511]","[60, 157, 95]",3
389.0,342.0,10.0,"{240, 49, 273, 52, 31}","[0.3864, 0.2607, 0.2961, 0.4545, 0.4951]","[240, 49, 273, 52, 31]",5
390.0,337.0,8.0,"{357, 101, 247, 216, 31}","[0.2756, 0.2668, 0.2825, 0.3012, 0.1981]","[357, 101, 247, 216, 31]",5
393.0,544.0,10.0,{357},[0.1829],[357],1
402.0,241.0,4.0,"{357, 101}","[0.272, 0.2038]","[357, 101]",2
405.0,538.0,1.0,"{161, 101, 357, 112, 52, 247, 216, 347, 189, 31}","[0.2841, 0.2281, 0.3212, 0.367, 0.2931, 0.2678, 0.2797, 0.3043, 0.3199, 0.2381]","[161, 101, 357, 112, 52, 247, 216, 347, 189, 31]",10
413.0,512.0,7.0,"{49, 357, 289}","[0.2607, 0.2547, 0.1962]","[49, 357, 289]",3
425.0,94.0,8.0,"{49, 357, 161, 189}","[0.2337, 0.2991, 0.2842, 0.2419]","[49, 357, 161, 189]",4
426.0,56.0,10.0,"{357, 103, 136, 12, 77, 140, 49, 209, 403, 52, 24, 95}","[0.3129, 0.3276, 0.2854, 0.3202, 0.3066, 0.2194, 0.3926, 0.3758, 0.3159, 0.3046, 0.3124, 0.3454]","[357, 103, 136, 12, 77, 140, 49, 209, 403, 52, 24, 95]",12
432.0,93.0,5.0,"{357, 200, 297, 12, 239, 49, 209, 403, 52, 189, 216, 29, 31}","[0.2914, 0.3882, 0.3636, 0.2764, 0.2851, 0.2596, 0.3613, 0.3017, 0.3898, 0.3945, 0.4025, 0.2838, 0.2552]","[357, 200, 297, 12, 239, 49, 209, 403, 52, 189, 216, 29, 31]",13
450.0,220.0,4.0,"{161, 101, 357, 247, 216, 57, 191}","[0.3506, 0.3135, 0.3142, 0.3454, 0.2797, 0.3571, 0.221]","[161, 101, 357, 247, 216, 57, 191]",7
453.0,359.0,10.0,"{256, 273, 403, 24, 408, 156, 31, 161, 166, 297, 174, 49, 52, 53, 311, 57, 571, 189, 191, 320, 200, 329, 456, 216, 217, 100, 101, 102, 229, 231, 356, 357, 361, 239, 112, 367, 118, 247, 254}","[0.2488, 0.3807, 0.2719, 0.2939, 0.4077, 0.4133, 0.4489, 0.3886, 0.4286, 0.4532, 0.4348, 0.4186, 0.4018, 0.4, 0.4358, 0.3989, 0.4079, 0.4234, 0.3785, 0.4378, 0.4344, 0.4008, 0.3984, 0.3851, 0.4111, 0.4427, 0.4757, 0.4149, 0.4758, 0.4229, 0.4649, 0.5484, 0.2876, 0.4839, 0.3693, 0.2809, 0.4478, 0.4826, 0.525]","[256, 273, 403, 24, 408, 156, 31, 161, 166, 297, 174, 49, 52, 53, 311, 57, 571, 189, 191, 320, 200, 329, 456, 216, 217, 100, 101, 102, 229, 231, 356, 357, 361, 239, 112, 367, 118, 247, 254]",39
455.0,544.0,8.0,{357},[0.1829],[357],1
476.0,629.0,5.0,"{161, 101, 102, 357, 49, 52, 247, 408, 57, 347, 156}","[0.218, 0.25, 0.3506, 0.3161, 0.3797, 0.3522, 0.3384, 0.3292, 0.3569, 0.2381, 0.3881]","[161, 101, 102, 357, 49, 52, 247, 408, 57, 347, 156]",11
481.0,506.0,9.0,"{321, 357, 200, 49, 179, 247, 347, 31}","[0.3494, 0.2539, 0.3855, 0.3467, 0.3696, 0.3505, 0.3771, 0.2419]","[321, 357, 200, 49, 179, 247, 347, 31]",8
509.0,337.0,8.0,{357},[0.1981],[357],1
518.0,299.0,7.0,{49},[0.2157],[49],1
520.0,299.0,5.0,{49},[0.2157],[49],1
524.0,740.0,6.0,{357},[0.1867],[357],1
540.0,389.0,9.0,"{99, 100, 357, 408, 329, 240, 189, 221, 247, 157, 191}","[0.4502, 0.4578, 0.2165, 0.3142, 0.4342, 0.4469, 0.4156, 0.4286, 0.4605, 0.2819, 0.4328]","[99, 100, 357, 408, 329, 240, 189, 221, 247, 157, 191]",11
543.0,220.0,7.0,"{216, 52, 357, 31}","[0.3182, 0.2303, 0.2797, 0.221]","[216, 52, 357, 31]",4
546.0,5.0,2.0,"{256, 408, 156, 29, 31, 161, 166, 49, 179, 307, 311, 57, 571, 189, 191, 200, 329, 342, 216, 217, 221, 100, 101, 102, 231, 356, 357, 361, 239, 112, 240, 367, 118, 247}","[0.4, 0.3722, 0.2517, 0.4022, 0.44, 0.3834, 0.391, 0.427, 0.4826, 0.3455, 0.3656, 0.3769, 0.3815, 0.2787, 0.3816, 0.3504, 0.3588, 0.4458, 0.4558, 0.3967, 0.4023, 0.4719, 0.4006, 0.4313, 0.4658, 0.4274, 0.4386, 0.5269, 0.4516, 0.2762, 0.447, 0.4146, 0.3769, 0.495]","[256, 408, 156, 29, 31, 161, 166, 49, 179, 307, 311, 57, 571, 189, 191, 200, 329, 342, 216, 217, 221, 100, 101, 102, 231, 356, 357, 361, 239, 112, 240, 367, 118, 247]",34
546.0,87.0,5.0,"{403, 140, 357}","[0.2754, 0.1867, 0.2474]","[403, 140, 357]",3
546.0,220.0,6.0,"{161, 191, 100, 101, 357, 367, 247, 56, 57, 216, 31}","[0.3182, 0.48, 0.3506, 0.4756, 0.3135, 0.3142, 0.3454, 0.2797, 0.3571, 0.221, 0.3345]","[161, 191, 100, 101, 357, 367, 247, 56, 57, 216, 31]",11
546.0,273.0,9.0,"{256, 657, 403, 22, 408, 156, 157, 29, 31, 161, 289, 36, 166, 423, 297, 49, 179, 307, 53, 311, 56, 57, 571, 189, 191, 320, 200, 329, 77, 342, 216, 217, 221, 100, 101, 102, 231, 356, 357, 359, 361, 239, 112, 240, 367, 118, 247}","[0.4336, 0.4392, 0.4261, 0.5348, 0.3034, 0.5193, 0.48, 0.4539, 0.2751, 0.4889, 0.4171, 0.3947, 0.412, 0.5783, 0.4252, 0.2121, 0.4109, 0.4885, 0.4378, 0.347, 0.4375, 0.438, 0.3842, 0.4378, 0.4513, 0.4132, 0.4414, 0.5065, 0.4379, 0.4313, 0.2313, 0.4066, 0.5023, 0.4274, 0.4846, 0.4737, 0.5484, 0.4885, 0.3029, 0.5241, 0.4977, 0.4808, 0.2706, 0.3769, 0.4526, 0.565, 0.5581]","[256, 657, 403, 22, 408, 156, 157, 29, 31, 161, 289, 36, 166, 423, 297, 49, 179, 307, 53, 311, 56, 57, 571, 189, 191, 320, 200, 329, 77, 342, 216, 217, 221, 100, 101, 102, 231, 356, 357, 359, 361, 239, 112, 240, 367, 118, 247]",47
552.0,556.0,4.0,{357},[0.181],[357],1
553.0,801.0,7.0,"{321, 161, 297}","[0.3414, 0.3983, 0.3299]","[321, 161, 297]",3
557.0,220.0,1.0,"{161, 52, 357}","[0.2303, 0.3142, 0.221]","[161, 52, 357]",3
569.0,512.0,5.0,{49},[0.2607],[49],1
574.0,275.0,9.0,"{156, 52, 189, 31}","[0.304, 0.2412, 0.3256, 0.265]","[156, 52, 189, 31]",4
579.0,220.0,4.0,"{161, 357, 52, 247, 216, 57, 191}","[0.2303, 0.3506, 0.3142, 0.3454, 0.2797, 0.3571, 0.221]","[161, 357, 52, 247, 216, 57, 191]",7
580.0,96.0,9.0,{423},[0.4181],[423],1
581.0,342.0,4.0,"{24, 49, 403, 52}","[0.2488, 0.2607, 0.2961, 0.2809]","[24, 49, 403, 52]",4
583.0,5.0,7.0,"{49, 357, 52, 189}","[0.2517, 0.2895, 0.2787, 0.2762]","[49, 357, 52, 189]",4
586.0,174.0,10.0,"{49, 289, 77, 189}","[0.3213, 0.2808, 0.3661, 0.2336]","[49, 289, 77, 189]",4
593.0,93.0,8.0,"{357, 12, 240, 49, 52, 189}","[0.2914, 0.2764, 0.2851, 0.2596, 0.4459, 0.2838]","[357, 12, 240, 49, 52, 189]",6
594.0,275.0,4.0,"{357, 52, 189}","[0.2412, 0.265, 0.2305]","[357, 52, 189]",3
594.0,241.0,8.0,{357},[0.2038],[357],1
596.0,5.0,10.0,"{256, 408, 29, 31, 161, 174, 52, 311, 189, 191, 321, 200, 329, 216, 347, 221, 99, 100, 101, 102, 231, 357, 361, 239, 112, 240, 367, 118, 247, 254}","[0.4, 0.3722, 0.2895, 0.4739, 0.44, 0.3834, 0.391, 0.427, 0.4826, 0.3656, 0.4954, 0.2787, 0.3816, 0.3504, 0.3588, 0.4558, 0.3967, 0.4023, 0.4719, 0.4006, 0.4427, 0.4313, 0.4274, 0.3608, 0.4386, 0.3603, 0.2762, 0.447, 0.4146, 0.3769]","[256, 408, 29, 31, 161, 174, 52, 311, 189, 191, 321, 200, 329, 216, 347, 221, 99, 100, 101, 102, 231, 357, 361, 239, 112, 240, 367, 118, 247, 254]",30
600.0,299.0,6.0,"{49, 357, 101}","[0.2157, 0.2487, 0.1924]","[49, 357, 101]",3
601.0,97.0,1.0,"{25, 52, 357}","[0.4174, 0.2303, 0.2019]","[25, 52, 357]",3
601.0,62.0,5.0,{357},[0.1867],[357],1
603.0,622.0,2.0,"{408, 29, 31, 161, 166, 423, 174, 49, 53, 57, 189, 191, 320, 200, 329, 471, 216, 101, 357, 359, 367, 112, 247}","[0.4039, 0.375, 0.2517, 0.4249, 0.417, 0.386, 0.4082, 0.3867, 0.4077, 0.4633, 0.3033, 0.4178, 0.3832, 0.3446, 0.4255, 0.4449, 0.4561, 0.301, 0.508, 0.4042, 0.4067, 0.4138, 0.3865]","[408, 29, 31, 161, 166, 423, 174, 49, 53, 57, 189, 191, 320, 200, 329, 471, 216, 101, 357, 359, 367, 112, 247]",23
605.0,22.0,8.0,"{256, 389, 140, 24, 26, 161, 166, 423, 297, 174, 309, 311, 56, 57, 60, 189, 320, 201, 209, 216, 347, 221, 95, 229, 112, 118, 247}","[0.3695, 0.545, 0.54, 0.5314, 0.2483, 0.2564, 0.5768, 0.487, 0.4174, 0.5106, 0.5038, 0.4954, 0.3525, 0.5784, 0.3879, 0.4661, 0.5973, 0.5656, 0.5435, 0.542, 0.5145, 0.5171, 0.5484, 0.5066, 0.5084, 0.5155, 0.4914]","[256, 389, 140, 24, 26, 161, 166, 423, 297, 174, 309, 311, 56, 57, 60, 189, 320, 201, 209, 216, 347, 221, 95, 229, 112, 118, 247]",27
605.0,355.0,9.0,"{297, 695, 140, 216, 209, 242, 502, 247, 24, 60, 189, 95}","[0.3424, 0.3086, 0.2633, 0.3739, 0.3306, 0.4023, 0.3475, 0.5026, 0.3106, 0.4398, 0.3698, 0.3908]","[297, 695, 140, 216, 209, 242, 502, 247, 24, 60, 189, 95]",12
620.0,389.0,8.0,"{357, 140, 77, 49, 209, 52, 189, 24, 157}","[0.3103, 0.2652, 0.307, 0.2722, 0.3043, 0.2165, 0.3142, 0.296, 0.2819]","[357, 140, 77, 49, 209, 52, 189, 24, 157]",9
622.0,241.0,10.0,{101},[0.272],[101],1
630.0,112.0,8.0,"{357, 136, 12, 77, 140, 141, 49, 403, 189, 181, 86, 23, 24, 25, 502, 60, 157, 95}","[0.454, 0.4483, 0.399, 0.4652, 0.3551, 0.2947, 0.3438, 0.3992, 0.2887, 0.4608, 0.4609, 0.4726, 0.2814, 0.495, 0.4399, 0.4229, 0.4356, 0.3811]","[357, 136, 12, 77, 140, 141, 49, 403, 189, 181, 86, 23, 24, 25, 502, 60, 157, 95]",18
642.0,93.0,5.0,"{24, 49, 403, 12}","[0.2914, 0.2709, 0.2764, 0.2552]","[24, 49, 403, 12]",4
643.0,660.0,4.0,{357},[0.1867],[357],1
652.0,371.0,8.0,{49},[0.2404],[49],1
663.0,361.0,9.0,"{49, 357, 289}","[0.3124, 0.2336, 0.3257]","[49, 357, 289]",3
670.0,547.0,9.0,"{49, 357, 101}","[0.2157, 0.2591, 0.2057]","[49, 357, 101]",3
671.0,91.0,10.0,{357},[0.2076],[357],1
687.0,1016.0,3.0,{357},[0.1943],[357],1
687.0,492.0,4.0,"{357, 209, 403, 52, 24, 189}","[0.2709, 0.3114, 0.3115, 0.2989, 0.2952, 0.3067]","[357, 209, 403, 52, 24, 189]",6
687.0,62.0,5.0,{357},[0.1867],[357],1
689.0,1016.0,2.0,"{101, 31}","[0.2699, 0.2461]","[101, 31]",2
697.0,496.0,8.0,"{357, 101}","[0.2617, 0.1962]","[357, 101]",2
702.0,73.0,8.0,"{52, 357}","[0.2237, 0.2057]","[52, 357]",2
720.0,239.0,4.0,"{256, 5, 6, 136, 12, 140, 528, 273, 403, 22, 24, 25, 26, 408, 156, 29, 157, 31, 33, 161, 423, 297, 174, 49, 179, 52, 53, 182, 307, 309, 57, 311, 571, 189, 191, 321, 456, 329, 209, 82, 83, 86, 342, 216, 217, 471, 347, 476, 93, 221, 95, 100, 101, 102, 229, 231, 357, 492, 367, 112, 114, 247, 506, 254}","[0.592, 0.5297, 0.3834, 0.5752, 0.3867, 0.4174, 0.5, 0.5216, 0.4801, 0.5479, 0.3888, 0.3882, 0.6094, 0.5055, 0.5291, 0.3934, 0.3682, 0.5771, 0.2771, 0.5911, 0.5026, 0.5602, 0.5243, 0.5604, 0.3758, 0.3913, 0.5017, 0.2814, 0.5106, 0.5367, 0.5301, 0.5273, 0.3989, 0.5888, 0.3851, 0.5141, 0.5462, 0.5531, 0.6018, 0.5124, 0.5248, 0.5731, 0.5038, 0.5485, 0.6141, 0.5571, 0.5805, 0.4879, 0.4674, 0.5482, 0.543, 0.4983, 0.3752, 0.5331, 0.3892, 0.5933, 0.5388, 0.5672, 0.5857, 0.5758, 0.5412, 0.6125, 0.56, 0.605]","[256, 5, 6, 136, 12, 140, 528, 273, 403, 22, 24, 25, 26, 408, 156, 29, 157, 31, 33, 161, 423, 297, 174, 49, 179, 52, 53, 182, 307, 309, 57, 311, 571, 189, 191, 321, 456, 329, 209, 82, 83, 86, 342, 216, 217, 471, 347, 476, 93, 221, 95, 100, 101, 102, 229, 231, 357, 492, 367, 112, 114, 247, 506, 254]",64
733.0,399.0,7.0,"{49, 52, 357}","[0.2247, 0.2303, 0.2095]","[49, 52, 357]",3
741.0,66.0,6.0,"{320, 161, 191, 100, 102, 166, 200, 367, 112, 49, 216, 156, 31}","[0.3864, 0.2562, 0.4489, 0.3647, 0.3933, 0.3821, 0.3897, 0.3885, 0.4079, 0.4124, 0.3249, 0.4185, 0.3972]","[320, 161, 191, 100, 102, 166, 200, 367, 112, 49, 216, 156, 31]",13
745.0,47.0,8.0,"{320, 34, 471, 100, 166, 239, 112, 240, 367, 179, 431, 53, 247, 24, 221, 189, 191}","[0.298, 0.4338, 0.4506, 0.4444, 0.4232, 0.4846, 0.4699, 0.2951, 0.4342, 0.4735, 0.418, 0.4286, 0.4503, 0.4493, 0.4146, 0.485, 0.4382]","[320, 34, 471, 100, 166, 239, 112, 240, 367, 179, 431, 53, 247, 24, 221, 189, 191]",17
773.0,864.0,9.0,"{140, 52, 357}","[0.2368, 0.2899, 0.2248]","[140, 52, 357]",3
773.0,145.0,10.0,"{52, 357}","[0.2127, 0.1962]","[52, 357]",2
795.0,93.0,4.0,"{256, 34, 209, 53, 118, 311, 216, 29, 31}","[0.3882, 0.3636, 0.4566, 0.4421, 0.4565, 0.3017, 0.3898, 0.4084, 0.3992]","[256, 34, 209, 53, 118, 311, 216, 29, 31]",9
803.0,660.0,9.0,{357},[0.1867],[357],1
805.0,302.0,7.0,"{52, 357}","[0.2434, 0.2248]","[52, 357]",2
809.0,112.0,9.0,"{12, 141, 209, 403, 502, 23, 24, 25, 60, 157, 95}","[0.454, 0.4483, 0.399, 0.4652, 0.2947, 0.2887, 0.4726, 0.2814, 0.4425, 0.4356, 0.3811]","[12, 141, 209, 403, 502, 23, 24, 25, 60, 157, 95]",11
812.0,342.0,9.0,"{361, 49, 216, 29, 31}","[0.4549, 0.3864, 0.2607, 0.3418, 0.4977]","[361, 49, 216, 29, 31]",5
